city,province,name,Gender,votes,result
ABORLAN,PALAWAN,"ORTEGA, JAIME",male,9761,W
ABORLAN,PALAWAN,"MAGBANUA, RICHRISTOPHER",male,5869,L
ABORLAN,PALAWAN,"ECHAGUE, GREGORIO III",male,1009,L
AGNO,PANGASINAN,"PAJETA, JOEL",male,7886,W
AGNO,PANGASINAN,"SISON, BONG",male,5470,L
AGUILAR,PANGASINAN,"BALLESTEROS, EDUARDO",male,11422,W
AGUILAR,PANGASINAN,"EVANGELISTA, ANO",male,7358,L
AGUILAR,PANGASINAN,"REPANCOL, ARNOLD",male,351,L
AGUTAYA,PALAWAN,"BACUEL, PERLA",female,1341,W
AGUTAYA,PALAWAN,"QUINCELA, CATALINO JR.",male,1307,L
AGUTAYA,PALAWAN,"RAGUIN, MARY JANE",female,548,L
AGUTAYA,PALAWAN,"QUINCELA, DEXTER",male,48,L
ALABEL,SARANGANI,"SALARDA, VIC PAUL",male,17301,W
ALABEL,SARANGANI,"SENIT, ELENITO",male,17231,L
ALAMINOS CITY,PANGASINAN,"CELESTE, ARTHUR",male,24899,W
ALAMINOS CITY,PANGASINAN,"AQUINO, EARL JAMES",male,13417,L
ALCALA,PANGASINAN,"CALLEJO, JOJO",male,9522,W
ALCALA,PANGASINAN,"MENCIAS, PAO",male,7407,L
ALCALA,PANGASINAN,"TOLENTINO, MCT",male,2533,L
ALMERIA,BILIRAN,"JAGUROS, RICKRICK",male,4434,W
ALMERIA,BILIRAN,"SALE, SAMMY",male,3823,L
ANDA,PANGASINAN,"CERDAN, ALDRIN",male,13377,W
ANDA,PANGASINAN,"SOSA, GIBSON JOHN",male,4910,L
ANGELES CITY,PAMPANGA,"PAMINTUAN, EDGARDO",male,76540,W
ANGELES CITY,PAMPANGA,"LAPID, LITO LAPID",male,45710,L
ANGELES CITY,PAMPANGA,"VEGA, VICKY VEGA",female,12864,L
APALIT,PAMPANGA,"NUCOM, PETER",male,19449,W
APALIT,PAMPANGA,"TOLENTINO, BAY",male,18538,L
APALIT,PAMPANGA,"MACAPAGAL, JAIME",male,156,L
ARACELI,PALAWAN,"BERONIO, NOEL",male,3109,W
ARACELI,PALAWAN,"CUDILLA, SUE",female,3090,L
ARAYAT,PAMPANGA,"ALEJANDRINO, BON",male,31964,W
ARAYAT,PAMPANGA,"ESPINO, LUIS",male,17096,L
ASINGAN,PANGASINAN,"CHUA, HEIDEE",female,14624,W
ASINGAN,PANGASINAN,"SAPIGAO, EMMANUEL",male,14191,L
BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,"DIPATUAN, ABDULMOHAIMEN",male,3466,W
BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,"AMANODDIN, TAMIM",male,792,L
BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,"DIPATUAN, SARTATA",male,4,L
BACOLOR,PAMPANGA,"HIZON, JOMAR",male,17837,W
BACOLOR,PAMPANGA,"DUNGCA, BUDDY",male,17724,L
BALABAC,PALAWAN,"ASTAMI, AL-HAZNI",male,8085,W
BALABAC,PALAWAN,"TULALI, REGIDOR",male,4760,L
BALABAC,PALAWAN,"HAMJA, PISTOH",male,2420,L
BALABAC,PALAWAN,"MAING, PARSON",male,153,L
BALABAC,PALAWAN,"MAMURA, RONIE",male,38,L
BALABAGAN,LANAO DEL SUR,"BENITO, EDNA",female,5736,W
BALABAGAN,LANAO DEL SUR,"SAMPIANO, QUIRINO",male,4688,L
BALABAGAN,LANAO DEL SUR,"SAMPIANO, AMER",male,52,L
BALABAGAN,LANAO DEL SUR,"CHICOTE, NORMA",female,13,L
BALABAGAN,LANAO DEL SUR,"MORRO, APOLO",male,11,L
BALINDONG (WATU),LANAO DEL SUR,"BAGUL, BENJAMIN",male,7945,W
BALINDONG (WATU),LANAO DEL SUR,"ABDULLAH, MAHMOD",male,2404,L
BALINDONG (WATU),LANAO DEL SUR,"RAMOS, LININDING",male,717,L
BALINDONG (WATU),LANAO DEL SUR,"TOMARA, SOCOR",male,26,L
BALUNGAO,PANGASINAN,"PERALTA, PHILIPP",male,10899,W
BALUNGAO,PANGASINAN,"MARZAN, JHUN LORD",male,2186,L
BANI,PANGASINAN,"YAMAMOTO, GWEN",female,12205,W
BANI,PANGASINAN,"NAVARRO, MARCELO JR.",male,9713,L
BANI,PANGASINAN,"PADUA, ARTURO",male,428,L
BASISTA,PANGASINAN,"DE LEON, MANOLITO",male,9204,W
BASISTA,PANGASINAN,"PEREZ, JOY",female,6760,L
BATARAZA,PALAWAN,"IBBA, ABRAHAM",male,14368,W
BATARAZA,PALAWAN,"ABDURAJIK, MULSININ",male,12253,L
BAUTISTA,PANGASINAN,"ESPINO, AMADEO",male,10193,W
BAUTISTA,PANGASINAN,"ONG, EDDIE",male,4217,L
BAYAMBANG,PANGASINAN,"QUIAMBAO, CEZAR",male,31946,L
BAYAMBANG,PANGASINAN,"CAMACHO, ZENAIDA",female,19442,W
BAYAMBANG,PANGASINAN,"JUNIO, CHATO",female,917,L
BAYAMBANG,PANGASINAN,"DE VERA, LEO",male,906,L
BAYAMBANG,PANGASINAN,"MANALANG, ADRIAN",male,36,L
BAYANG,LANAO DEL SUR,"BALT, ASLANI",male,5582,W
BAYANG,LANAO DEL SUR,"AMPATUA, MAYA",male,4594,L
BAYANG,LANAO DEL SUR,"SANGCOPAN, CAMIL",male,92,L
BAYANG,LANAO DEL SUR,"MACADAUB, CAIRON",male,8,L
BAYANG,LANAO DEL SUR,"SARIP, BRYAN",male,4,L
BILIRAN,BILIRAN,"CASIL, GRACE",female,5144,W
BILIRAN,BILIRAN,"ROSAL, ANTONIO",male,3250,L
BILIRAN,BILIRAN,"TIU, HOSPICIO III",male,121,L
BINALONAN,PANGASINAN,"GUICO, RAMON III",male,21664,W
BINIDAYAN,LANAO DEL SUR,"DATUMULOK, ABDULLAH",male,3542,W
BINIDAYAN,LANAO DEL SUR,"DATUMOLOK, AMAN MISBAC",male,2135,L
BINIDAYAN,LANAO DEL SUR,"RARACO, SALAC",male,64,L
BINIDAYAN,LANAO DEL SUR,"DIMAPORO, MOHAMMAD HOSNI",male,22,L
BINIDAYAN,LANAO DEL SUR,"BASSAR, SAMEN",male,10,L
BINMALEY,PANGASINAN,"ROSARIO, SIMPLICIO",male,25766,W
BINMALEY,PANGASINAN,"MERRERA, PEDRO",male,16213,L
BINMALEY,PANGASINAN,"AQUINO, JESS",male,2122,L
BOLINAO,PANGASINAN,"CELESTE, ARNOLD",male,25589,W
BOLINAO,PANGASINAN,"CACHO, APIN",male,2532,L
BROOKE'S POINT,PALAWAN,"FELICIANO, JEAN",female,15555,W
BROOKE'S POINT,PALAWAN,"LEONCIO, BOYET",male,13243,L
BUADIPOSO-BUNTONG,LANAO DEL SUR,"DADAYAN, NORON",female,9097,W
BUADIPOSO-BUNTONG,LANAO DEL SUR,"ASISOR, ANISAH",male,339,L
BUADIPOSO-BUNTONG,LANAO DEL SUR,"MANDOMA, ANSHARY",male,248,L
BUADIPOSO-BUNTONG,LANAO DEL SUR,"MAMAROBA, LINDY",male,6,L
BUBONG,LANAO DEL SUR,"MUNDER, ALFAIS",male,7890,W
BUBONG,LANAO DEL SUR,"MACAPUNDAG, WAHAB",male,302,L
BUBONG,LANAO DEL SUR,"LANGGOYO, DANNY",male,50,L
BUENAVISTA,GUIMARAS,"REYES, EUGENE",male,14133,W
BUENAVISTA,GUIMARAS,"HABAÑA, ROY",male,7850,L
BUENAVISTA,GUIMARAS,"DE ASIS, VINCENT PASCAL",male,2877,L
BUGALLON,PANGASINAN,"ESPINO, JUMEL ANTHONY",male,19790,W
BUGALLON,PANGASINAN,"ORDUÑA, RODRIGO",male,11972,L
BUGALLON,PANGASINAN,"CANTO, NONIE",male,194,L
BUGALLON,PANGASINAN,"CASTRO, CORLETO",male,98,L
BUMBARAN,LANAO DEL SUR,"MANABILANG, JAMAL",male,4884,W
BURGOS,PANGASINAN,"GUIANG, ALBERTO JR.",male,4910,W
BURGOS,PANGASINAN,"DOCTOR, DOMINGO JR.",male,4229,L
BUSUANGA,PALAWAN,"CERVANTES, ELIZABETH",female,4453,W
BUSUANGA,PALAWAN,"CRUZ, TOMMY",male,3211,L
BUSUANGA,PALAWAN,"PANLILIO, JOSE MARQUEZ",male,2014,L
BUTIG,LANAO DEL SUR,"MACADATO, IBRAHIM",male,4092,W
BUTIG,LANAO DEL SUR,"PANSAR, DIMNATANG",male,3899,L
BUTIG,LANAO DEL SUR,"MACADATO, NASSIF",male,16,L
BUTIG,LANAO DEL SUR,"ABOCA, ZAPATA",male,9,L
BUTIG,LANAO DEL SUR,"MAMA, MAMASAO",male,8,L
BUTIG,LANAO DEL SUR,"BAO, EDRIS",male,7,L
BUTIG,LANAO DEL SUR,"AMATONDING, FAIZA",male,4,L
BUTIG,LANAO DEL SUR,"COSAIN, ABDULRAHMAN",male,4,L
CABUCGAYAN,BILIRAN,"MASBANG, EDWIN",male,4894,W
CABUCGAYAN,BILIRAN,"ADOBO, GEMMA",female,4655,L
CAGAYANCILLO,PALAWAN,"LANOY, LOURDES",female,68,W
CAGAYANCILLO,PALAWAN,"TAPALLA, JOE",male,17,L
CAIBIRAN,BILIRAN,"MADERAZO, LALOY",male,6309,W
CAIBIRAN,BILIRAN,"PANTAS, EDWIN",male,4000,L
CALANOGAS,LANAO DEL SUR,"BENITO, MACAPADO SR.",male,5435,W
CALASIAO,PANGASINAN,"BAUZON, JOSEPH ARMAN",male,23765,W
CALASIAO,PANGASINAN,"MACANLALAY, ROY",male,20313,L
CALASIAO,PANGASINAN,"GABAT, FLORANTE",male,1091,L
CANDABA,PAMPANGA,"BAYLON, DANILO",male,23725,W
CANDABA,PAMPANGA,"MAGLANQUE, RENE",male,23036,L
CANDABA,PAMPANGA,"EVANGELISTA, BABES",female,3026,L
CANDABA,PAMPANGA,"BAYLON, BOY",male,1169,L
CATARMAN,CAMIGUIN,"JACOT, NESTOR",male,8423,W
CATARMAN,CAMIGUIN,"BANAAG, PERIOLO",male,691,L
CORON,PALAWAN,"BARRACOSO, JERRY",male,11820,W
CORON,PALAWAN,"REYES, MARIO JOEL",male,7467,L
CORON,PALAWAN,"PE, JIM GERALD",male,2286,L
CULABA,BILIRAN,"REVELDEZ, LORENZO JR.",male,4107,W
CULION,PALAWAN,"DE VERA, MA. VIRGINIA",female,4572,W
CULION,PALAWAN,"MARASIGAN, JUN",male,4413,L
CUYO,PALAWAN,"ONG, ANDREW",male,6607,W
DAGUPAN CITY,PANGASINAN,"FERNANDEZ, BELEN",female,37620,W
DAGUPAN CITY,PANGASINAN,"LIM, CELIA",female,37494,L
DASOL,PANGASINAN,"VERZOSA, ERIC",male,9866,W
DASOL,PANGASINAN,"NACAR, NADINE",female,7584,L
DITSAAN-RAMAIN,LANAO DEL SUR,"ADIONG, SAIDAMEN",male,1956,W
DITSAAN-RAMAIN,LANAO DEL SUR,"MACARAMPAT, ANNA-MAHLYNE",female,1321,L
DITSAAN-RAMAIN,LANAO DEL SUR,"PANDAPATAN, BACRAINIE",male,5,L
DITSAAN-RAMAIN,LANAO DEL SUR,"PANARIGAN, QAREEB",male,3,L
DITSAAN-RAMAIN,LANAO DEL SUR,"GULAM, ACSAPALA",male,2,L
DITSAAN-RAMAIN,LANAO DEL SUR,"MACARAMPAT, MACABAWI",male,2,L
DUMARAN,PALAWAN,"PABLICO, MHEDS",male,6535,W
DUMARAN,PALAWAN,"RODRIGUEZ, MANUEL",male,1943,L
EL NIDO (BACUIT),PALAWAN,"ROSENTO, NIEVES",female,9988,W
EL NIDO (BACUIT),PALAWAN,"ALVAREZ, ANTONIO",male,8811,L
ENRIQUE VILLANUEVA,SIQUIJOR,"PAL-ING, GEROLD",male,2566,W
ENRIQUE VILLANUEVA,SIQUIJOR,"TONG, FRANCIS MICHAEL",male,867,L
ENRIQUE VILLANUEVA,SIQUIJOR,"ALCALA, MIMI",female,751,L
ENRIQUE VILLANUEVA,SIQUIJOR,"SAMSON, TATA DALLY",female,3,L
FLORIDABLANCA,PAMPANGA,"MANALANSAN, DARWIN",male,14057,W
FLORIDABLANCA,PAMPANGA,"GUERRERO, DRA LECK",female,12659,L
FLORIDABLANCA,PAMPANGA,"MENDIOLA, TITO",male,12038,L
FLORIDABLANCA,PAMPANGA,"CARLOS, RICHARD LEE VI",male,6623,L
FLORIDABLANCA,PAMPANGA,"CURA, ARNIGO",male,405,L
GANASSI,LANAO DEL SUR,"MACAPODI, AL-RASHID",male,4997,W
GANASSI,LANAO DEL SUR,"DIANGKA, FAHAD",male,420,L
GLAN,SARANGANI,"YAP, TATA",male,27724,W
GLAN,SARANGANI,"YAP, YOYONG",male,12247,L
GLAN,SARANGANI,"CORSAME, JUN",male,721,L
GLAN,SARANGANI,"BARCELONA, NOEL",male,93,L
GUAGUA,PAMPANGA,"TORRES, DANTE",male,18249,W
GUAGUA,PAMPANGA,"TWAÑO, ANTHONNY",male,15580,L
GUAGUA,PAMPANGA,"SANTIAGO, NOY-NOY",male,4586,L
GUAGUA,PAMPANGA,"MALLARI, MIKE",male,3700,L
GUAGUA,PAMPANGA,"GUILAS, LIZA",female,2589,L
GUINSILIBAN,CAMIGUIN,"ABECIA, HELENIO",male,3536,W
INFANTA,PANGASINAN,"MARTINEZ, MARVIN",male,7264,W
INFANTA,PANGASINAN,"MALLARE, VAL",male,5343,L
JORDAN,GUIMARAS,"CORPUZ, RUBEN",male,9100,W
JORDAN,GUIMARAS,"ATIENZA, NONOYVITO",male,8250,L
KALAYAAN,PALAWAN,"DEL MUNDO, CHOY",male,142,W
KALAYAAN,PALAWAN,"BITO-ONON, EUGENIO JR.",male,59,L
KALAYAAN,PALAWAN,"JACA, RODRIGO",male,28,L
KAPAI,LANAO DEL SUR,"GAURAKI, HAMZA",male,3141,W
KAPAI,LANAO DEL SUR,"GAURAKI, OMAR ABUBACAR",male,7,L
KAPAI,LANAO DEL SUR,"DIDATO, ALEXANDER",male,2,L
KAPATAGAN,LANAO DEL SUR,"MAGLANGIT, NHAZRUDDIN",male,8149,W
KAPATAGAN,LANAO DEL SUR,"BANSIL, MASSER",male,389,L
KAWAYAN,BILIRAN,"ESPINA, RUDY",male,6635,W
KAWAYAN,BILIRAN,"DURANGO, JUN",male,2186,L
KIAMBA,SARANGANI,"MARTINEZ, RAUL",male,14444,W
KIAMBA,SARANGANI,"FALGUI, ROMMEL TOMAS",male,9287,L
LABRADOR,PANGASINAN,"ARENAS, DOMY",male,6707,W
LABRADOR,PANGASINAN,"CAMACHO, RICARDO",male,5816,L
LABRADOR,PANGASINAN,"MANAOIS, CASIMIRO",male,348,L
LABRADOR,PANGASINAN,"VELASQUEZ, EDWIN",male,167,L
LABRADOR,PANGASINAN,"MISLANG, TITOY",male,58,L
LAOAC,PANGASINAN,"ALARCIO, SILVERIO JR.",male,11612,W
LARENA,SIQUIJOR,"VILLA, DANNY",male,6495,W
LARENA,SIQUIJOR,"LUCERO, JOSE FELIX",male,1239,L
LARENA,SIQUIJOR,"VILLA, RONNIE",male,610,L
LAZI,SIQUIJOR,"MONTE, JAMES",male,4032,W
LAZI,SIQUIJOR,"ENSONG, JOHN",male,2916,L
LAZI,SIQUIJOR,"LIGUTOM, LYDIO",male,2368,L
LAZI,SIQUIJOR,"ALJAS, AL",male,1067,L
LINAPACAN,PALAWAN,"DEL PRADO, JESS",male,3497,W
LINAPACAN,PALAWAN,"CABIGUEN, BIENVENIDO",male,2910,L
LINGAYEN,PANGASINAN,"CASTAÑEDA, IDAY",female,22992,W
LINGAYEN,PANGASINAN,"PASILIAO, NEPTHALIE",male,18214,L
LINGAYEN,PANGASINAN,"VERZOSA, SONNY",male,4748,L
LINGAYEN,PANGASINAN,"PERIAS, ALBIN",male,316,L
LUBAO,PAMPANGA,"PINEDA-CAYABYAB, MYLYN",female,49545,W
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,"DAGALANGIT, GAMBAI",male,3599,L
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,"MACALA, ABDUL RASHID",male,1646,W
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,"DAGALANGIT, AMIALONGAN",male,250,L
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,"DIANATON, MANGATHA",male,13,L
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,"RASUL, FATAH",male,9,L
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, SOMERADO",male,1760,W
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, SARIPODEN",male,1725,L
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, ISMAEL",male,25,L
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, ITO MAMA",male,11,L
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, CALIL",male,8,L
LUMBACA-UNAYAN,LANAO DEL SUR,"MACUGAR, MAMA",male,7,L
LUMBACA-UNAYAN,LANAO DEL SUR,"DATU-DACULA, ANIRAINI",male,5,L
LUMBACA-UNAYAN,LANAO DEL SUR,"GURO, OMIRA",male,3,L
LUMBACA-UNAYAN,LANAO DEL SUR,"ALAWI, ALINAIR",male,2,L
LUMBATAN,LANAO DEL SUR,"LAO, ALLAN",male,4894,W
LUMBATAN,LANAO DEL SUR,"RAZUMAN, SITTIEHAYA",male,3884,L
LUMBATAN,LANAO DEL SUR,"MIPANGCAT, PAO",male,9,L
LUMBATAN,LANAO DEL SUR,"DUMAGAY, MELANIE",female,7,L
LUMBATAN,LANAO DEL SUR,"GORONDAYA, MOHAIMEN",male,3,L
LUMBATAN,LANAO DEL SUR,"IBRAHIM, ABULALI",male,3,L
LUMBAYANAGUE,LANAO DEL SUR,"GUNTING, ANSARY",male,309,W
LUMBAYANAGUE,LANAO DEL SUR,"ASUM, SALAMONA",male,260,L
LUMBAYANAGUE,LANAO DEL SUR,"GUNTING, SIMPAN",male,3,L
LUMBAYANAGUE,LANAO DEL SUR,"SALO, ALEXANDER",male,0,L
MAASIM,SARANGANI,"LOPEZ, ANICETO JR.",male,16271,W
MABALACAT,PAMPANGA,"MORALES, BOKING",male,40174,W
MABALACAT,PAMPANGA,"GARBO, CRISOSTOMO",male,17710,L
MABALACAT,PAMPANGA,"CASTRO, NOEL",male,10788,L
MABALACAT,PAMPANGA,"LUCAS, PYRA",female,5807,L
MABINI,PANGASINAN,"BRIANA, ALIMAR",male,6005,W
MABINI,PANGASINAN,"DE GUZMAN, ARIEL",male,5937,L
MACABEBE,PAMPANGA,"BALGAN, ANNETTE",female,17124,W
MACABEBE,PAMPANGA,"FLORES, BOBONG",male,12763,L
MADALUM,LANAO DEL SUR,"MINDALANO-SARANGANI, SORAIDA",female,1798,W
MADALUM,LANAO DEL SUR,"GUINAL, NORMILAH",female,616,L
MADALUM,LANAO DEL SUR,"ANGNI, NORMILA",female,54,L
MADALUM,LANAO DEL SUR,"BANSAO, ABDULSANI",male,11,L
MADALUM,LANAO DEL SUR,"SARANGANI, FARIDAH",female,7,L
MADALUM,LANAO DEL SUR,"MINDALANO, NORHATA",female,5,L
MADALUM,LANAO DEL SUR,"SARANGANI, ALMYRAH",female,3,L
MADALUM,LANAO DEL SUR,"SARANGANI, SITTIE AISAH",female,1,L
MADALUM,LANAO DEL SUR,"SARANGANI, USMAN SR.",male,1,L
MADALUM,LANAO DEL SUR,"TANGGINO, IBRAHIM",male,1,L
MADAMBA,LANAO DEL SUR,"MINDALANO, DAGOROAN",male,6216,W
MADAMBA,LANAO DEL SUR,"SARANGANI, MANLY",male,110,L
MADAMBA,LANAO DEL SUR,"MACAPANTON, TAHIR",male,16,L
MADAMBA,LANAO DEL SUR,"AMOL, MALOBAY",male,11,L
MAGALANG,PAMPANGA,"LACSON, MALU-PARAS",female,20434,W
